ID	C1	C2	C3	C4	C5	T1	T2	T3	T4	T5
LOC105674433	1	1	0	2	0	0	1	0	0	5
LOC105679483	0	0	0	0	0	1	0	0	1	0
LOC105669915	8	6	13	16	15	10	11	3	38	9
LOC105667765	21	20	21	25	24	28	28	30	31	19
LOC105670653	0	0	1	0	0	0	0	0	2	0
LOC105671366	0	0	0	0	0	0	0	0	0	0
LOC105672031	2	0	0	2	3	0	2	0	2	0
LOC105673222	5	2	5	1	2	0	4	3	1	7
LOC105673934	238	162	149	195	209	202	185	162	207	142
LOC105675333	3	0	0	0	0	0	1	0	0	2
LOC105676037	313	253	246	259	316	390	419	274	442	237
LOC105677202	40	14	33	24	28	27	33	21	24	28
LOC105677932	0	0	0	0	1	1	0	0	4	0
LOC105678606	1124	789	975	1016	1103	1135	1043	1059	1093	929
LOC105679390	30	35	37	41	57	43	47	42	50	47
LOC105679462	476	378	526	539	483	538	560	582	773	506
LOC105679328	1218	1038	1234	1372	1378	1294	1174	1408	1492	1248
LOC105679676	171	166	173	200	185	210	200	208	286	202
LOC105679537	295	265	318	329	339	337	325	316	380	285
LOC105679599	480	361	459	442	413	451	469	390	513	369
LOC105679743	0	0	0	0	0	0	0	0	0	0
LOC105679887	23	7	12	21	6	10	13	18	7	13
LOC105680090	18	17	24	15	19	29	20	15	16	11
LOC105680167	0	0	0	0	1	0	0	0	1	0
LOC105667333	7	3	3	5	2	0	3	0	1	3
LOC105667403	1	0	0	2	2	0	0	0	4	0
LOC105667458	4	5	4	5	9	3	8	1	10	13
LOC105667533	4	4	2	0	0	0	0	0	0	2
LOC105667604	0	0	0	0	0	0	1	0	2	0
LOC105667744	0	0	2	0	0	3	1	0	1	0
LOC105667808	0	0	0	0	0	0	0	0	0	0
LOC105667877	12	5	13	5	4	15	13	7	9	10
LOC105667938	0	0	1	0	2	0	2	1	1	1
LOC105668014	318	225	266	281	273	304	272	277	284	238
LOC105668095	2	0	1	2	0	0	1	0	0	0
LOC105668288	1	0	1	0	0	2	1	0	1	1
LOC105668217	166	146	174	238	204	228	160	183	292	190
LOC105668351	0	0	0	0	0	0	0	0	0	0
LOC105668424	0	0	0	0	0	0	0	3	0	0
LOC105668582	20	5	10	7	8	13	10	20	11	13
LOC105668666	1	0	0	0	0	0	0	0	0	0
LOC105668933	623	482	513	560	655	634	660	507	714	496
LOC105668730	505	383	420	488	521	541	414	444	563	422
LOC105669158	2234	1676	1829	2304	2556	2621	2707	3036	3023	3101
LOC105671320	252	160	140	166	246	205	179	130	119	109
LOC105669230	60443	44918	40700	48370	50445	44476	53976	49246	32028	32930
LOC105671247	2960	2347	2484	2737	2844	3205	3152	2536	3425	2468
LOC105671367	0	1	2	0	1	0	0	1	0	0
LOC105671410	0	0	1	0	0	0	1	1	0	1
LOC105671473	4	5	2	5	1	3	6	0	4	3
LOC105671549	0	1	0	3	0	1	0	0	3	0
LOC105671622	0	0	0	0	0	0	0	0	0	0
LOC105671685	27	26	23	18	29	28	29	20	9	11
LOC105671747	0	1	0	0	0	0	0	1	0	0
LOC105671815	7	2	11	5	6	16	10	10	9	15
LOC105671887	3	0	1	2	1	7	1	0	1	1
LOC105672048	0	0	0	0	0	0	0	0	0	0
LOC105671991	0	0	0	0	0	0	0	0	0	1
LOC105672103	0	0	0	1	0	0	0	0	0	1
LOC105672184	0	0	2	0	1	3	2	0	3	0
LOC105672251	146	129	95	99	131	154	146	101	136	108
LOC105672318	5	7	4	9	1	3	3	6	1	4
LOC105672462	48	37	30	39	46	36	41	47	34	38
LOC105672507	0	0	0	0	0	0	0	0	0	0
LOC105672574	11	12	6	19	12	14	6	16	20	16
LOC105672652	4	1	6	3	3	1	3	5	9	3
LOC105672721	131	66	126	109	124	114	120	120	178	125
LOC105672800	1	0	0	2	1	0	0	0	1	2
LOC105672855	0	0	0	0	0	0	0	0	0	0
LOC105672907	7	4	10	2	8	4	6	2	3	7
LOC105672962	0	0	0	0	0	0	0	0	0	0
LOC105673177	311	244	325	404	353	427	335	310	504	352
LOC105673246	649	445	559	675	616	559	611	603	819	589
LOC105673325	32	23	21	29	43	16	24	24	24	38
LOC105673461	0	0	0	2	0	1	0	1	0	0
LOC105673392	0	0	0	0	0	0	0	0	0	2
LOC105673531	25	13	4	15	14	14	7	26	6	7
LOC105673674	0	0	2	3	1	1	1	7	3	1
LOC105673749	0	0	0	0	0	0	0	0	0	1
LOC105673884	27	23	13	23	30	29	24	19	22	25
LOC105674460	2479	1727	1989	2100	2270	2249	2211	2361	2000	2064
LOC105674340	53	27	30	74	56	68	58	44	57	39
LOC105673961	8	1	2	4	6	2	4	2	4	4
LOC105674258	8	6	8	6	14	12	9	8	15	10
LOC105674041	60	44	56	45	61	71	57	53	60	58
LOC105674184	1390	1064	1336	1436	1320	1330	1249	1415	1825	1420
LOC105674731	281	180	162	204	219	254	256	200	263	184
LOC105674609	4020	3022	3343	3565	3286	3924	3705	3191	3428	2935
LOC105675699	909	680	840	842	904	985	950	872	1173	941
LOC105675534	446	315	379	402	500	440	424	408	447	331
LOC105675451	660	644	667	572	741	603	575	654	713	573
LOC105674799	834	606	686	750	711	856	756	682	905	690
LOC105675882	294	274	309	350	360	334	318	305	439	350
LOC105675812	512	397	470	470	571	589	520	535	643	548
LOC105674931	469	407	440	534	476	562	499	503	603	539
LOC105674867	586	503	606	648	632	627	569	621	679	588
LOC105675006	2555	1997	2024	2317	2411	2724	2571	2202	2396	1962
LOC105675353	266	223	251	314	287	278	226	216	378	254
LOC105675279	450	393	397	465	474	500	448	444	626	392
LOC105676124	0	0	0	0	0	1	0	0	0	0
LOC105676185	39	15	23	25	34	9	16	18	20	21
LOC105676344	0	0	0	0	0	0	0	0	0	0
LOC105676414	1417	853	1134	1330	1567	1330	1403	1660	1459	1629
LOC105676473	4	1	2	0	1	2	3	1	0	2
LOC105676539	20	24	19	33	30	25	23	24	37	24
LOC105676710	0	2	0	0	0	0	2	0	1	0
LOC105676774	0	0	0	0	1	0	4	0	0	1
LOC105676851	3	1	1	0	2	1	4	1	0	0
LOC105677401	2	0	0	0	0	0	3	3	1	0
LOC105676923	0	0	0	1	1	3	1	0	0	0
LOC105676999	1	2	4	3	0	2	4	1	9	4
LOC105677055	1	0	2	0	4	0	0	0	0	0
LOC105677125	1	2	0	2	1	0	1	0	2	3
LOC105677826	262	226	255	253	272	284	300	281	316	251
LOC105678046	60	50	59	87	48	71	61	47	102	61
LOC105677476	799	610	695	659	723	714	684	648	669	646
LOC105677747	78	52	83	26	33	38	80	52	37	27
LOC105677683	17	11	30	7	9	5	4	2	2	6
LOC105677599	11	18	8	10	9	14	14	11	16	5
LOC105677268	596	530	583	673	486	458	523	511	514	528
LOC105678113	434	286	366	429	409	378	477	438	438	401
LOC105677330	15	15	6	6	12	8	9	16	17	7
LOC105677203	0	0	1	0	0	0	0	3	1	0
LOC105678180	49	18	27	33	50	35	47	37	32	32
LOC105678269	2	2	2	2	0	1	0	1	0	0
LOC105678316	2	0	2	3	2	2	2	2	2	0
LOC105678378	0	0	0	0	0	0	0	0	0	0
LOC105678446	63	64	29	75	71	88	57	40	71	42
LOC105678607	521	385	368	489	523	604	585	437	656	413
LOC105678488	42	38	43	50	47	42	50	35	59	61
LOC105678732	1185	872	1054	1053	1204	1148	1192	1156	1343	1031
LOC105678858	33	11	6	14	15	17	15	31	21	18
LOC105678787	45	19	19	27	24	18	25	31	12	15
LOC105678941	0	0	0	0	0	0	0	0	0	0
LOC105679222	2	0	3	1	0	1	1	3	5	1
LOC105679283	0	0	0	0	0	0	0	0	0	0
LOC105679297	20	12	9	12	7	16	25	15	12	7
LOC105679305	0	0	0	1	1	0	0	0	0	2
LOC105679313	0	0	0	0	0	1	1	0	0	0
LOC105679321	2	3	4	10	7	1	2	3	0	9
LOC105679329	4	5	7	5	5	5	1	8	11	8
LOC105679337	1257	944	1009	1102	1271	1101	1068	1027	1037	886
LOC105679343	2766	2080	2132	2369	2658	2833	2716	2386	2905	2105
LOC105679398	452	312	314	320	335	422	397	328	457	277
LOC105679373	1334	937	861	1010	1155	1279	1226	841	973	714
LOC105679406	0	2	6	6	6	4	3	1	9	8
LOC105679413	0	0	0	1	0	0	0	0	0	0
LOC105679427	0	0	0	0	0	0	0	0	0	0
LOC105679436	0	1	0	3	3	1	1	1	1	1
LOC105679457	1	0	0	0	0	0	0	0	0	0
LOC105679467	0	0	1	0	1	0	0	0	0	0
LOC105679480	41	49	28	41	38	55	45	48	47	52
