Fecha,Semana,DiaTrat,ScTrat,ScTest,Tiempo,CortadoCabezas
ene24,1,1,1,1,1.54,no
ene24,1,1,1,1,5.49,no
ene24,1,1,1,1,1.92,no
ene24,1,1,1,1,6.59,no
ene24,1,1,1,1,0,no
ene24,1,1,1,1,0,no
ene24,1,1,1,5,5.08,no
ene24,1,1,1,5,0,no
ene24,1,1,1,5,73.61,no
ene24,1,1,1,5,10.94,no
ene24,1,1,1,5,9.37,no
ene24,1,1,1,5,122.23,no
ene24,1,1,1,10,48.67,no
ene24,1,1,1,10,114.07,no
ene24,1,1,1,10,65.53,no
ene24,1,1,1,10,68.14,no
ene24,1,1,1,10,8.78,no
ene24,1,1,1,10,6.14,no
ene24,1,1,1,20,70.87,no
ene24,1,1,1,20,36.04,no
ene24,1,1,1,20,10.25,no
ene24,1,1,1,20,130.23,no
ene24,1,1,1,20,23.5,no
ene24,1,1,1,20,20.84,no
ene24,1,1,20,1,0,no
ene24,1,1,20,1,0,no
ene24,1,1,20,1,0,no
ene24,1,1,20,1,0,no
ene24,1,1,20,1,0,no
ene24,1,1,20,1,26.77,no
ene24,1,1,20,5,1.92,no
ene24,1,1,20,5,3.6,no
ene24,1,1,20,5,4.66,no
ene24,1,1,20,5,2.25,no
ene24,1,1,20,5,7.78,no
ene24,1,1,20,5,10.25,no
ene24,1,1,20,10,0,no
ene24,1,1,20,10,68.08,no
ene24,1,1,20,10,3.39,no
ene24,1,1,20,10,27.46,no
ene24,1,1,20,10,2.27,no
ene24,1,1,20,10,2.01,no
ene24,1,1,20,20,4,no
ene24,1,1,20,20,12.29,no
ene24,1,1,20,20,0,no
ene24,1,1,20,20,3.3,no
ene24,1,1,20,20,19.2,no
ene24,1,1,20,20,74.2,no
ene24,1,2,1,1,8.49,no
ene24,1,2,1,1,1.27,no
ene24,1,2,1,1,0,no
ene24,1,2,1,1,5.2,no
ene24,1,2,1,1,0,no
ene24,1,2,1,1,10.01,no
ene24,1,2,1,1,0,no
ene24,1,2,1,5,26.7,no
ene24,1,2,1,5,52.82,no
ene24,1,2,1,5,34.88,no
ene24,1,2,1,5,75.29,no
ene24,1,2,1,5,28.4,no
ene24,1,2,1,5,5.21,no
ene24,1,2,1,5,39.74,no
ene24,1,2,1,10,30.84,no
ene24,1,2,1,10,41.98,no
ene24,1,2,1,10,26.21,no
ene24,1,2,1,10,39.08,no
ene24,1,2,1,10,68.44,no
ene24,1,2,1,10,13.42,no
ene24,1,2,1,10,39.55,no
ene24,1,2,1,20,102.57,no
ene24,1,2,1,20,30.02,no
ene24,1,2,1,20,65.64,no
ene24,1,2,1,20,41.14,no
ene24,1,2,1,20,64.87,no
ene24,1,2,1,20,46.01,no
ene24,1,2,1,20,80.23,no
ene24,1,2,20,1,0,no
ene24,1,2,20,1,12.01,no
ene24,1,2,20,1,0,no
ene24,1,2,20,1,8.45,no
ene24,1,2,20,1,3.13,no
ene24,1,2,20,1,0,no
ene24,1,2,20,1,2.58,no
ene24,1,2,20,5,22.14,no
ene24,1,2,20,5,10.59,no
ene24,1,2,20,5,5.24,no
ene24,1,2,20,5,8.9,no
ene24,1,2,20,5,36.12,no
ene24,1,2,20,5,21.99,no
ene24,1,2,20,5,1.25,no
ene24,1,2,20,10,45.12,no
ene24,1,2,20,10,23.61,no
ene24,1,2,20,10,9.24,no
ene24,1,2,20,10,15.22,no
ene24,1,2,20,10,20.8,no
ene24,1,2,20,10,1.01,no
ene24,1,2,20,10,0,no
ene24,1,2,20,20,25.87,no
ene24,1,2,20,20,14.05,no
ene24,1,2,20,20,25.78,no
ene24,1,2,20,20,9.11,no
ene24,1,2,20,20,52.31,no
ene24,1,2,20,20,19.05,no
ene24,1,2,20,20,35.24,no
ene24,1,3,1,1,0,no
ene24,1,3,1,1,1.02,no
ene24,1,3,1,1,0,no
ene24,1,3,1,1,5.99,no
ene24,1,3,1,1,10.63,no
ene24,1,3,1,1,0,no
ene24,1,3,1,1,5.23,no
ene24,1,3,1,1,0,no
ene24,1,3,1,5,4.02,no
ene24,1,3,1,5,10.58,no
ene24,1,3,1,5,20.03,no
ene24,1,3,1,5,18.55,no
ene24,1,3,1,5,0,no
ene24,1,3,1,5,30.85,no
ene24,1,3,1,5,11.02,no
ene24,1,3,1,5,6.41,no
ene24,1,3,1,10,52.28,no
ene24,1,3,1,10,88.63,no
ene24,1,3,1,10,28.05,no
ene24,1,3,1,10,50.87,no
ene24,1,3,1,10,42.19,no
ene24,1,3,1,10,70.37,no
ene24,1,3,1,10,5.64,no
ene24,1,3,1,10,51.74,no
ene24,1,3,1,20,44.46,no
ene24,1,3,1,20,79.64,no
ene24,1,3,1,20,50.98,no
ene24,1,3,1,20,111.45,no
ene24,1,3,1,20,25.2,no
ene24,1,3,1,20,59.25,no
ene24,1,3,1,20,33.7,no
ene24,1,3,1,20,50.14,no
ene24,1,3,20,1,6.54,no
ene24,1,3,20,1,0,no
ene24,1,3,20,1,0,no
ene24,1,3,20,1,2.04,no
ene24,1,3,20,1,3.23,no
ene24,1,3,20,1,0,no
ene24,1,3,20,1,0,no
ene24,1,3,20,1,4.59,no
ene24,1,3,20,5,1.01,no
ene24,1,3,20,5,12.8,no
ene24,1,3,20,5,2.33,no
ene24,1,3,20,5,0,no
ene24,1,3,20,5,15.28,no
ene24,1,3,20,5,0,no
ene24,1,3,20,5,1.85,no
ene24,1,3,20,5,2.1,no
ene24,1,3,20,10,0,no
ene24,1,3,20,10,35.25,no
ene24,1,3,20,10,22.81,no
ene24,1,3,20,10,50.96,no
ene24,1,3,20,10,0,no
ene24,1,3,20,10,45.3,no
ene24,1,3,20,10,13.55,no
ene24,1,3,20,10,8.69,no
ene24,1,3,20,20,48.49,no
ene24,1,3,20,20,18.58,no
ene24,1,3,20,20,15.08,no
ene24,1,3,20,20,30.08,no
ene24,1,3,20,20,14.53,no
ene24,1,3,20,20,31.66,no
ene24,1,3,20,20,62.07,no
ene24,1,3,20,20,39.56,no
ene24,2,3,1,1,0,si
ene24,2,3,1,1,2.3,si
ene24,2,3,1,1,5.22,si
ene24,2,3,1,1,5.98,si
ene24,2,3,1,1,1.23,si
ene24,2,3,1,1,10.08,si
ene24,2,3,1,1,0,si
ene24,2,3,1,1,0,si
ene24,2,3,1,1,3.36,si
ene24,2,3,1,1,5.99,si
ene24,2,3,1,5,10.5,si
ene24,2,3,1,5,0,si
ene24,2,3,1,5,28.46,si
ene24,2,3,1,5,6.22,si
ene24,2,3,1,5,9.37,si
ene24,2,3,1,5,11.05,si
ene24,2,3,1,5,34.68,si
ene24,2,3,1,5,5.02,si
ene24,2,3,1,5,0,si
ene24,2,3,1,5,75.29,si
ene24,2,3,1,10,50.81,si
ene24,2,3,1,10,41.96,si
ene24,2,3,1,10,68.42,si
ene24,2,3,1,10,12.56,si
ene24,2,3,1,10,113.55,si
ene24,2,3,1,10,23.5,si
ene24,2,3,1,10,58.6,si
ene24,2,3,1,10,39.71,si
ene24,2,3,1,10,15.07,si
ene24,2,3,1,10,10.44,si
ene24,2,3,1,20,81.71,si
ene24,2,3,1,20,64.87,si
ene24,2,3,1,20,79.64,si
ene24,2,3,1,20,10.25,si
ene24,2,3,1,20,118.99,si
ene24,2,3,1,20,68.02,si
ene24,2,3,1,20,35.31,si
ene24,2,3,1,20,0,si
ene24,2,3,1,20,93.25,si
ene24,2,3,1,20,25.2,si
ene24,2,3,20,1,0,si
ene24,2,3,20,1,1.33,si
ene24,2,3,20,1,0,si
ene24,2,3,20,1,0,si
ene24,2,3,20,1,5.45,si
ene24,2,3,20,1,6.98,si
ene24,2,3,20,1,1.02,si
ene24,2,3,20,1,1.78,si
ene24,2,3,20,1,2.05,si
ene24,2,3,20,1,0,si
ene24,2,3,20,5,1.07,si
ene24,2,3,20,5,1,si
ene24,2,3,20,5,0,si
ene24,2,3,20,5,2.33,si
ene24,2,3,20,5,7.89,si
ene24,2,3,20,5,10.59,si
ene24,2,3,20,5,8.9,si
ene24,2,3,20,5,38.22,si
ene24,2,3,20,5,0,si
ene24,2,3,20,5,22.14,si
ene24,2,3,20,10,1.61,si
ene24,2,3,20,10,0,si
ene24,2,3,20,10,22.83,si
ene24,2,3,20,10,13.05,si
ene24,2,3,20,10,18.34,si
ene24,2,3,20,10,3.77,si
ene24,2,3,20,10,5.49,si
ene24,2,3,20,10,0,si
ene24,2,3,20,10,44.52,si
ene24,2,3,20,10,2.01,si
ene24,2,3,20,20,19.18,si
ene24,2,3,20,20,0,si
ene24,2,3,20,20,25.81,si
ene24,2,3,20,20,15.97,si
ene24,2,3,20,20,12.27,si
ene24,2,3,20,20,3.36,si
ene24,2,3,20,20,26.74,si
ene24,2,3,20,20,78.03,si
ene24,2,3,20,20,9.12,si
ene24,2,3,20,20,18.58,si
